2021-12-08 14:18:53.463 INFO  [4600] [enter@14] Input: 5
2021-12-08 14:18:54.586 INFO  [4600] [main@45] Random Number: 1
2021-12-08 14:18:54.589 INFO  [4600] [main@48] Value: 2
2021-12-08 14:18:54.922 INFO  [4600] [main@45] Random Number: 3
2021-12-08 14:18:54.925 INFO  [4600] [main@48] Value: 5
2021-12-08 14:18:55.282 INFO  [4600] [main@45] Random Number: 1
2021-12-08 14:18:55.285 INFO  [4600] [main@48] Value: 3
2021-12-08 14:18:55.602 INFO  [4600] [main@45] Random Number: 0
2021-12-08 14:18:55.605 INFO  [4600] [main@48] Value: 1
2021-12-08 14:18:55.938 INFO  [4600] [main@45] Random Number: 0
2021-12-08 14:18:55.940 INFO  [4600] [main@48] Value: 4
2021-12-08 14:19:21.247 INFO  [1044] [enter@14] Input: 10
2021-12-08 14:19:21.866 INFO  [1044] [main@45] Random Number: 1
2021-12-08 14:19:21.869 INFO  [1044] [main@48] Value: 2
2021-12-08 14:19:22.098 INFO  [1044] [main@45] Random Number: 8
2021-12-08 14:19:22.101 INFO  [1044] [main@48] Value: 10
2021-12-08 14:19:22.354 INFO  [1044] [main@45] Random Number: 6
2021-12-08 14:19:22.357 INFO  [1044] [main@48] Value: 8
2021-12-08 14:19:22.610 INFO  [1044] [main@45] Random Number: 5
2021-12-08 14:19:22.613 INFO  [1044] [main@48] Value: 7
2021-12-08 14:19:22.866 INFO  [1044] [main@45] Random Number: 5
2021-12-08 14:19:22.868 INFO  [1044] [main@48] Value: 9
2021-12-08 14:19:23.130 INFO  [1044] [main@45] Random Number: 4
2021-12-08 14:19:23.133 INFO  [1044] [main@48] Value: 6
2021-12-08 14:19:23.370 INFO  [1044] [main@45] Random Number: 2
2021-12-08 14:19:23.372 INFO  [1044] [main@48] Value: 4
2021-12-08 14:19:23.634 INFO  [1044] [main@45] Random Number: 0
2021-12-08 14:19:23.637 INFO  [1044] [main@48] Value: 1
2021-12-08 14:19:23.858 INFO  [1044] [main@45] Random Number: 0
2021-12-08 14:19:23.861 INFO  [1044] [main@48] Value: 3
2021-12-08 14:19:24.914 INFO  [1044] [main@45] Random Number: 0
2021-12-08 14:19:24.917 INFO  [1044] [main@48] Value: 5
2021-12-08 14:20:01.335 INFO  [13024] [enter@14] Input: 30
